Name,Season,Team,Team Wins,Team Win Percentage,Position,MIN,PTS,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,TOV,PER,OFFRTG,DEFRTG,NETRTG,AST_PCT,AST_TO_TO,AST_RATIO,TO_RATIO,EFG,TS,USG_RATE,WIN_SHARE,Team_Valuation,Team_Home_Attendance_Percentage,Salary(millions),PTS_WON,MAX,PTS_WON2
Kevin Durant,2014,OKC,59,0.719,,38.5,32,0.503,0.391,0.873,7.4,5.5,1.3,0.7,3.5,29.9,111.1,102.9,8.2,25.9,1.56,16.2,10.3,56,63.5,32.1,19.2,930,100,18.9,1232,1250,0.985
LeBron James,2014,MIA,54,0.658,,37.7,27.1,0.567,0.379,0.75,6.9,6.3,1.6,0.3,3.5,29.4,111.9,104.7,7.2,31.1,1.81,20.7,11.5,61,64.9,30.3,15.9,1200,100.9,20.6,891,1250,0.712
Blake Griffin,2014,LAC,57,0.695,,35.8,24.1,0.528,0.273,0.715,9.5,3.9,1.2,0.6,2.8,23.98,112.6,102.5,10.1,18.5,1.38,14.2,10.3,53.3,58.3,28.5,12.2,1600,100.8,17.6,434,1250,0.347
Joakim Noah,2014,CHI,48,0.585,,35.3,12.6,0.475,0,0.737,11.3,5.4,1.2,1.5,2.4,20.06,103.2,98.5,4.7,25.8,2.22,27.3,12.3,47.5,53.1,18.8,11.2,2000,103.8,12.7,322,1250,0.257
James Harden,2014,HOU,54,0.658,,38,25.4,0.456,0.366,0.866,4.7,6.1,1.6,0.4,3.6,23.51,111.9,104.5,7.4,26.6,1.68,20.3,12.1,52.9,61.8,27,12.8,1300,100.4,14.7,85,1250,0.068
Stephen Curry,2014,GSW,51,0.621,,36.5,24,0.471,0.424,0.885,4.3,8.5,1.6,0.2,3.8,24.13,110.3,100.4,9.9,37.2,2.27,26.9,11.9,56.6,61,27.5,13.4,1300,100,10.6,66,1250,0.052
Chris Paul,2014,LAC,57,0.695,,35,19.1,0.467,0.368,0.855,4.3,10.7,2.5,0.1,2.3,25.98,112.9,101.2,11.7,45.9,4.57,36.4,8,51.1,58,22.9,12.2,1600,100.8,20,45,1250,0.036
Al Jefferson,2014,CHA,43,0.524,,35,21.8,0.509,0.2,0.69,10.8,2.1,0.9,1.1,1.7,22.75,103.2,102.7,0.5,12.2,1.25,8.7,7,51,53.2,29.1,7.8,,81.3,13.5,34,1250,0.027
Paul George,2014,IND,56,0.682,,36.2,21.7,0.424,0.364,0.864,6.8,3.5,1.9,0.3,2.8,20.16,104.3,97.6,6.7,17.7,1.26,13.7,10.9,49,55.5,27.7,10.8,,96.3,15.9,33,1250,0.026
LaMarcus Aldridge,2014,POR,54,0.658,,36.2,23.2,0.458,0.2,0.822,11.1,2.6,0.9,1,1.8,21.84,111.5,104.2,7.4,12.8,1.45,9.4,6.5,45.9,50.7,29.5,7.5,,95,16,26,1250,0.02
Kevin Love,2014,MIN,40,0.487,,36.3,26.1,0.457,0.376,0.821,12.5,4.4,0.8,0.5,2.5,26.97,110.7,102.7,8,10.4,1.38,12.1,8.8,50.9,56.2,21.4,14.3,625,75.2,15.7,25,1250,0.02
Tim Duncan,2014,SAS,62,0.756,,29.2,15.1,0.49,0,0.731,9.7,3,0.6,1.9,2.1,21.4,107.7,100.7,7,15.9,1.38,15.4,11.2,49,53.5,25,7.4,1000,99.1,10.3,21,1250,0.016
Tony Parker,2014,SAS,62,0.756,,29.4,16.7,0.499,0.373,0.811,2.3,5.7,0.5,0.1,2.2,19,107.8,100.7,7.1,31,2.57,24.9,9.7,51.3,55.5,26.2,5.9,1000,99.1,12.5,21,1250,0.016
Dirk Nowitzki,2014,DAL,49,0.597,,32.9,21.7,0.497,0.398,0.899,6.2,2.7,0.9,0.6,1.5,23.68,108.4,102.4,6,14,1.85,12.4,6.7,54.9,60.3,25.8,10.9,,103.9,7.9,7,1250,0.005
Carmelo Anthony,2014,NYK,37,0.451,,38.7,27.4,0.452,0.402,0.848,8.1,3.1,1.2,0.7,2.6,24.5,108.3,106.7,1.6,15.6,1.22,10.5,8.6,50.3,56.1,31.8,10.7,,100,22.4,4,1250,0.003
Goran Dragic,2014,PHO,48,0.585,,35.1,20.3,0.505,0.408,0.76,3.2,5.9,1.4,0.3,2.3,21.43,110.6,104.9,5.7,27.4,2.1,23.2,11,56.1,60.4,24,10.3,,86.2,7.5,3,1250,0.002
Mike Conley,2014,MEM,50,0.609,,33.5,17.2,0.45,0.361,0.815,2.9,6,1.5,0.2,2.1,20.07,106.8,103.6,3.2,29.3,2.94,25.8,8.6,50,54.5,23.9,8.2,750,92.3,8.6,1,1250,0
LeBron James,2013,MIA,66,0.804,F,37.9,26.8,0.565,0.406,0.753,8,7.3,1.7,0.9,3,31.67,114.1,101.6,12.4,34.4,2.44,23.3,9.6,60.3,64,29.3,19.3,770,102,19,1207,1210,0.997
Kevin Durant,2013,OKC,60,0.731,F,38.5,28.1,0.51,0.416,0.905,7.9,4.6,1.4,1.3,3.5,28.35,112.9,100.6,12.4,21.3,1.34,15.5,11.6,55.9,64.7,29.5,18.9,590,100,17.8,765,1210,0.632
Carmelo Anthony,2013,NYK,54,0.658,F,37,28.7,0.449,0.379,0.83,6.9,2.6,0.8,0.5,2.6,24.83,111.8,105.2,6.6,13.7,0.98,8.3,8.5,50.2,56,34.8,9.5,,96.3,21.3,475,1210,0.392
Chris Paul,2013,LAC,56,0.682,G,33.4,16.9,0.481,0.328,0.885,3.7,9.7,2.4,0.1,2.3,26.43,113.9,104.1,9.9,44.3,4.26,37,8.7,52.6,59.4,22.2,13.9,575,100.9,18.6,289,1210,0.238
Kobe Bryant,2013,LAL,45,0.548,G,38.6,27.3,0.463,0.324,0.839,5.6,6,1.4,0.3,3.7,23.1,108.3,106.3,2,28.6,1.63,17.9,10.9,50.4,57,31.3,10.9,,99.7,30.4,184,1210,0.152
Tony Parker,2013,SAS,58,0.707,G,32.9,20.3,0.522,0.353,0.845,3,7.6,0.8,0.1,2.6,23.1,108.1,97.9,10.2,39.6,2.94,27.6,9.4,53.4,58.8,27.4,9.3,660,99.2,12.5,86,1210,0.071
Tim Duncan,2013,SAS,58,0.707,F,30.1,17.8,0.502,0.286,0.817,9.9,2.7,0.7,2.7,2.1,24.45,107.6,96.9,10.6,15.1,1.25,12.8,10.2,50.3,55.4,27.4,8.3,660,99.2,10.3,65,1210,0.053
James Harden,2013,HOU,45,0.548,G,38.3,25.9,0.438,0.368,0.851,4.9,5.8,1.8,0.5,3.8,23,108.6,105.5,3.1,25.7,1.54,18.7,12.2,50.4,60,28.5,12.8,775,92.4,13.7,33,1210,0.027
Russell Westbrook,2013,OKC,60,0.731,G,34.9,23.2,0.438,0.323,0.8,5.2,7.4,1.8,0.3,3.3,23.98,112,100.7,11.3,37.2,2.22,22.7,10.2,47,53.2,32.1,11.6,590,100,14.6,9,1210,0.007
